"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","B530-A_Gain","B530-H_Gain","B585-A_Gain","B585-H_Gain","B695-A_Gain","B695-H_Gain","B780-A_Gain","B780-H_Gain","R670-A_Gain","R670-H_Gain","R780-A_Gain","R780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B530-A","B530-H","B585-A","B585-H","B695-A","B695-H","B780-A","B780-H","R670-A","R670-H","R780-A","R780-H","Blue_LaserDelay","Red_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor"
"20-DEC-2024",2024-12-20 09:56:50,"2024-12-20","9H 56M 50S","Unknown","2.16.0","Unknown","Unknown",568,568,568,393,393,393,433,NA,480,NA,470,NA,560,NA,440,NA,440,NA,125512.7265625,65017.314453125,126530,171064.578125,64608.349609375,173732.5,9845.5498046875,NA,10674.4501953125,NA,10924.875,NA,12384.900390625,NA,10341.1201171875,NA,13109.1196289062,NA,NA,NA,NA,NA
"19-DEC-2024",2024-12-19 10:11:08,"2024-12-19","10H 11M 8S","Unknown","2.16.0","Unknown","Unknown",568,568,568,393,393,393,433,NA,480,NA,470,NA,560,NA,440,NA,440,NA,131297.796875,64746.52734375,132788,174023.109375,64609.11328125,176683,10065.6005859375,NA,10987.650390625,NA,11634.2998046875,NA,13851,NA,10580.4794921875,NA,14379.51953125,NA,NA,NA,NA,NA
"18-DEC-2024",2024-12-18 10:18:44,"2024-12-18","10H 18M 44S","Unknown","2.16.0","Unknown","Unknown",568,568,568,393,393,393,433,NA,480,NA,470,NA,560,NA,440,NA,440,NA,129435.9921875,64900.08984375,130851,171482.40625,64886.3828125,173690,10019.7001953125,NA,10941.75,NA,11551.9501953125,NA,13865.8505859375,NA,10502.3994140625,NA,14406.3994140625,NA,NA,NA,NA,NA
"17-DEC-2024",2024-12-17 09:54:38,"2024-12-17","9H 54M 38S","Unknown","2.16.0","Unknown","Unknown",568,568,568,393,393,393,433,NA,480,NA,470,NA,560,NA,440,NA,440,NA,122562.9921875,65081.29296875,123444,159877.796875,65031.875,161590,9288,NA,10160.1005859375,NA,10886.400390625,NA,13174.650390625,NA,10590.7197265625,NA,14831.359375,NA,NA,NA,NA,NA
"16-DEC-2024",2024-12-16 10:51:50,"2024-12-16","10H 51M 50S","Unknown","2.16.0","Unknown","Unknown",568,568,568,393,393,393,433,NA,480,NA,470,NA,560,NA,440,NA,440,NA,129964.078125,65497.6171875,130089,167575.5,65872.7890625,166988,9765.900390625,NA,10698.75,NA,11627.5498046875,NA,14219.5498046875,NA,10775.0400390625,NA,15225.599609375,NA,NA,NA,NA,NA
"13-DEC-2024",2024-12-13 10:53:34,"2024-12-13","10H 53M 34S","Unknown","2.16.0","Unknown","Unknown",568,568,568,393,393,393,433,NA,480,NA,470,NA,560,NA,440,NA,440,NA,129142.80078125,64890.734375,130516,165289.2734375,64851.10546875,167355.5,9933.2998046875,NA,10912.0498046875,NA,11084.8505859375,NA,12715.650390625,NA,10334.7197265625,NA,13442.5595703125,NA,NA,NA,NA,NA
"12-DEC-2024",2024-12-12 10:26:31,"2024-12-12","10H 26M 31S","Unknown","2.16.0","Unknown","Unknown",568,568,568,393,393,393,433,NA,480,NA,470,NA,560,NA,440,NA,440,NA,123682.6796875,64744.216796875,125274,155175.75,64215.103515625,158566.5,9258.2998046875,NA,10247.8505859375,NA,10612.3505859375,NA,12192.525390625,NA,10370.5595703125,NA,13580.1596679688,NA,NA,NA,NA,NA
"11-DEC-2024",2024-12-11 13:40:41,"2024-12-11","13H 40M 41S","Unknown","2.16.0","Unknown","Unknown",568,568,568,393,393,393,433,NA,480,NA,470,NA,560,NA,440,NA,440,NA,125998.18359375,64663.6171875,127735,163013.1796875,64309.87109375,166393.5,9402.75,NA,10388.25,NA,10951.2001953125,NA,12423.375,NA,10109.439453125,NA,13294.080078125,NA,NA,NA,NA,NA
"10-DEC-2024",2024-12-10 11:10:05,"2024-12-10","11H 10M 5S","Unknown","FACSCantoII","V96100817","Administrator",568,568,568,393,393,393,433,NA,480,NA,470,NA,560,NA,440,NA,440,NA,110811.46875,65451.486328125,109948,147342.375,65624.3828125,147426.5,9184.72509765625,NA,10335.6005859375,NA,11005.2001953125,NA,13068,NA,10228.4794921875,NA,14194.5595703125,NA,0,28.73,1.35,1.28
"04-DEC-2024",2024-12-04 10:45:53,"2024-12-04","10H 45M 53S","Unknown","2.16.0","Unknown","",568,568,568,393,393,393,433,NA,480,NA,470,NA,560,NA,440,NA,440,NA,125555.9375,67257.171875,122183,145867.40625,69673.546875,137295,9844.3603515625,NA,9830.7197265625,NA,9332.240234375,NA,7661.9599609375,NA,9806.0498046875,NA,9772.7001953125,NA,NA,NA,NA,NA
